nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Nathan Coy,47.73972602739726,177.8,77.11064,175.26,3.88,2.4,0.52,0.61,3.17,0.47,0.5,0.0,15,7,
Andrew Craig,40.25479452054795,185.42,77.11064,193.04,2.39,3.01,0.4,0.5,0.53,0.37,0.72,0.0,9,4,
Paul Craig,38.38904109589041,190.5,92.98636,193.04,2.5,3.04,0.45,0.43,1.43,0.18,0.35,1.3,17,10,
Dan Cramer,40.463013698630135,187.96,77.11064,0.0,0.97,2.1,0.3,0.31,0.0,0.0,0.66,0.5,11,4,
Alberto Crane,49.76712328767123,165.1,70.30676,0.0,0.43,2.61,0.25,0.57,0.0,0.0,0.5,4.0,15,5,
Tim Credeur,48.78082191780822,190.5,83.91452,190.5,3.59,3.13,0.3,0.57,0.41,1.0,0.5,3.3,12,4,
Paul Creighton,55.88219178082192,167.64000000000001,70.30676,0.0,0.72,4.65,0.75,0.3,5.37,0.37,0.0,0.0,3,1,
Helena Crevar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Alexander Crispim,0.0,0.0,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,
Alex Crispin,0.0,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,
Melissa Croden,35.013698630136986,175.26,61.23492,172.72,4.1,1.83,0.48,0.53,1.02,0.5,0.66,0.0,7,3,
Kevin Croom,38.75890410958904,180.34,61.23492,185.42000000000002,2.65,3.1,0.34,0.41,0.48,0.05,0.3,0.5,21,15,
Kiefer Crosbie,36.032876712328765,180.34,77.11064,177.8,4.46,5.8,0.64,0.46,0.0,0.0,0.4,0.0,10,6,
Ken Cross,31.53150684931507,182.88,70.30676,182.88,2.2,1.4,0.57,0.55,1.0,0.12,0.66,0.0,11,3,
Jeff Crotty,0.0,0.0,70.30676,0.0,0.93,3.33,0.35,0.54,5.0,0.38,0.0,1.0,1,1,
Allen Crowder,36.43835616438356,190.5,111.13004,193.04,2.95,2.95,0.51,0.56,1.85,0.33,1.0,1.2,10,4,
Daron Cruickshank,40.85205479452055,172.72,70.30676,182.88,2.88,2.98,0.38,0.57,2.04,0.41,0.6,0.2,18,10,
Richard Crunkilton,46.4,170.18,70.30676,0.0,1.72,1.45,0.41,0.58,4.08,0.61,0.65,1.3,19,4,
Jimmy Crute,30.115068493150684,187.96,92.98636,187.96,4.15,3.65,0.52,0.42,4.39,0.52,0.58,2.0,14,4,
Marcio Cruz,47.989041095890414,193.04,105.233344,0.0,2.92,1.51,0.46,0.68,0.53,0.07,0.37,1.6,8,3,
Dominick Cruz,41.10958904109589,172.72,61.23492,172.72,3.91,2.61,0.33,0.7,2.82,0.42,0.83,0.1,24,4,
Aalon Cruz,36.57260273972603,182.88,65.77083999999999,198.12,7.58,8.88,0.39,0.58,0.0,0.0,0.0,0.0,8,4,
Timmy Cuamba,27.18082191780822,175.26,61.23492,180.34,2.77,3.58,0.44,0.57,1.31,0.31,0.72,0.0,10,3,
Jay Cucciniello,39.73698630136986,170.18,70.30676,0.0,0.93,4.73,0.21,0.36,0.0,0.0,0.71,0.0,8,1,
Emilio Cuellar,0.0,0.0,56.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,
Josh Culibao,31.895890410958906,177.8,65.77083999999999,185.42000000000002,3.41,3.04,0.44,0.59,0.0,0.0,0.65,0.3,11,4,
Chris Culley,40.06575342465754,0.0,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,15,
Abel Cullum,38.99178082191781,170.18,63.049288,0.0,1.82,1.23,0.4,0.46,4.01,0.52,0.0,2.8,20,6,
Zak Cummings,41.70958904109589,182.88,92.98636,190.5,2.96,2.91,0.35,0.55,0.62,0.28,0.66,0.6,25,7,
Everett Cummings,0.0,0.0,92.98636,0.0,0.43,4.34,0.6,0.45,0.0,0.0,0.0,2.2,12,0,
Patrick Cummins,45.42191780821918,187.96,92.98636,193.04,4.26,3.35,0.5,0.55,4.49,0.41,0.28,0.1,10,7,
Luke Cummo,45.97808219178082,182.88,77.11064,187.96,1.74,1.5,0.43,0.59,0.89,0.55,0.42,1.4,6,6,
Hugo Cunha,33.1945205479452,190.5,119.294696,200.66,0.6,3.01,0.3,0.34,0.0,0.0,0.0,0.0,8,2,
Alton Cunningham,32.81095890410959,187.96,92.98636,195.58,3.33,4.94,0.75,0.2,1.67,0.1,1.0,0.0,4,2,
AJ Cunningham,31.605479452054794,177.8,61.23492,180.34,4.22,6.31,0.29,0.48,0.0,0.0,0.46,0.5,11,5,imagenes/AJ Cunningham.png
Tommy Cuozzi Jr.,26.621917808219177,175.26,65.77083999999999,180.34,2.43,14.22,0.17,0.34,0.0,0.0,0.0,0.0,8,1,
Santo Curatolo,31.24109589041096,160.02,56.699,157.48,1.4,6.07,0.39,0.34,2.0,0.33,1.0,0.0,6,2,
Larry Cureton,0.0,187.96,108.86207999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
Jeff Curran,48.63013698630137,167.64000000000001,61.23492,175.26,1.54,2.48,0.31,0.6,0.35,0.12,0.35,1.2,36,18,
Kailin Curran,35.016438356164386,162.56,52.16308,165.1,3.89,4.75,0.43,0.53,2.0,0.57,0.61,0.6,4,5,
Pat Curran,38.63013698630137,175.26,65.77083999999999,0.0,4.7,4.4,0.58,0.63,2.5,0.62,0.66,0.0,22,7,
Will Currie,27.421917808219177,190.5,83.91452,193.04,2.73,5.67,0.47,0.44,2.0,0.13,0.5,0.0,12,4,
