nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Tom Aaron,47.76986301369863,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,
Danny Abbadi,42.794520547945204,180.34,70.30676,0.0,3.29,4.41,0.38,0.57,0.0,0.0,0.77,0.0,4,6,
Nariman Abbasov,32.202739726027396,172.72,70.30676,167.64000000000001,3.0,5.67,0.2,0.46,0.0,0.0,0.66,0.0,28,4,
Darion Abbey,33.136986301369866,187.96,120.20188,203.2,8.44,14.06,0.5,0.28,0.0,0.0,0.0,0.0,9,5,
David Abbott,60.99178082191781,182.88,120.20188,0.0,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0.0,10,15,
Hamdy Abdelwahab,33.23013698630137,187.96,120.20188,182.88,4.27,3.67,0.55,0.51,3.25,0.65,1.0,0.0,7,1,
Mansur Abdul-Malik,28.52054794520548,187.96,83.91452,203.2,4.18,3.46,0.48,0.51,0.94,0.5,0.83,0.5,9,0,
Shamil Abdurakhimov,44.62739726027397,190.5,106.59412,193.04,2.41,3.02,0.44,0.55,1.01,0.23,0.45,0.1,20,8,imagenes/Shamil Abdurakhimov.png
Hiroyuki Abe,56.1972602739726,167.64000000000001,65.77083999999999,0.0,1.71,3.11,0.36,0.63,0.0,0.0,0.33,0.0,8,15,
Daichi Abe,34.38630136986301,180.34,77.11064,180.34,3.8,4.49,0.33,0.56,0.33,0.5,0.0,0.0,6,2,
Papy Abedi,47.8054794520548,180.34,83.91452,0.0,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3,10,4,imagenes/Papy Abedi.png
Ricardo Abreu,41.97534246575343,180.34,83.91452,0.0,3.79,3.98,0.31,0.68,2.13,0.42,1.0,0.7,5,1,
Klidson Abreu,33.30958904109589,182.88,92.98636,187.96,2.05,2.9,0.4,0.55,0.64,0.2,0.8,0.0,15,4,imagenes/Klidson Abreu.png
Cyborg Abreu,45.32876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Daniel Acacio,48.31232876712329,172.72,81.64656,0.0,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0.0,30,18,
John Adajar,34.81917808219178,175.26,77.11064,190.5,3.9,6.28,0.52,0.44,0.0,0.0,0.0,0.0,6,2,
Scott Adams,0.0,182.88,102.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,
Juan Adams,34.24931506849315,195.57999999999998,120.20188,203.2,7.09,4.06,0.55,0.34,0.91,0.66,0.57,0.0,5,3,
Anthony Adams,38.26027397260274,185.42,83.91452,193.04,3.17,5.93,0.41,0.44,0.0,0.0,0.0,0.0,8,2,
Zarrukh Adashev,33.71506849315068,165.1,56.699,165.1,3.65,3.04,0.4,0.64,0.0,0.0,1.0,0.5,4,4,
Israel Adesanya,36.73698630136986,193.04,83.91452,203.2,4.02,3.2,0.48,0.55,0.05,0.11,0.76,0.1,24,5,imagenes/Israel Adesanya.png
Sam Adkins,60.99178082191781,190.5,102.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,
Mohamed Ado,25.947945205479453,180.34,77.11064,193.04,1.66,0.33,0.83,0.75,4.97,0.5,0.5,5.0,5,1,
Nick Agallar,47.26575342465753,172.72,70.30676,0.0,0.69,4.56,0.11,0.42,0.0,0.0,0.0,0.0,24,6,
Mariya Agapova,29.02191780821918,167.64000000000001,56.699,172.72,4.43,3.62,0.54,0.52,0.55,0.66,0.45,0.8,10,5,
Kantharaj Agasa,34.16438356164384,0.0,61.23492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,
Marcelo Aguiar,57.25205479452055,177.8,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,
Fabio Aguiar,38.18356164383562,182.88,83.91452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,
Edwin Aguilar,54.3041095890411,177.8,83.91452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,19,
Jessica Aguilar,43.94794520547945,160.02,52.16308,160.02,4.93,7.19,0.5,0.53,0.94,0.25,0.5,0.2,20,8,
Kevin Aguilar,37.608219178082194,170.18,70.30676,185.42000000000002,3.96,4.81,0.4,0.52,0.16,0.16,0.78,0.0,17,5,
Jesus Aguilar,30.09041095890411,162.56,56.699,157.48,2.54,2.29,0.38,0.61,1.52,0.29,0.45,1.1,12,4,
Christian Aguilera,34.391780821917806,175.26,77.11064,182.88,2.54,4.04,0.37,0.48,0.0,0.0,0.6,0.0,14,8,
Nick Aguirre,30.24931506849315,175.26,61.23492,187.96,0.73,2.89,0.33,0.45,1.16,0.2,0.33,0.6,7,2,
Agulali,21.016438356164382,175.26,56.699,170.18,2.74,2.19,0.6,0.59,0.0,0.0,1.0,0.0,13,2,
Ahejiang Ailinuer,0.0,0.0,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,
Mike Aina,45.31506849315068,175.26,70.30676,0.0,2.87,6.33,0.33,0.59,0.0,0.0,0.71,0.0,14,6,
Ashiek Ajim,31.824657534246576,172.72,61.23492,180.34,5.0,11.25,0.4,0.25,0.0,0.0,0.0,0.0,6,2,
Hitomi Akano,51.73424657534247,162.56,61.23492,0.0,0.59,2.58,0.45,0.55,0.0,0.0,0.08,0.5,18,10,
Omari Akhmedov,38.515068493150686,182.88,83.91452,185.42000000000002,2.97,2.84,0.34,0.55,2.58,0.45,0.65,0.2,21,6,
Yoshihiro Akiyama,50.728767123287675,177.8,77.11064,190.5,3.1,3.62,0.41,0.57,2.29,0.67,0.92,1.0,14,6,
Rostem Akman,34.326027397260276,177.8,77.11064,182.88,1.8,3.97,0.25,0.57,1.0,0.4,0.87,0.0,6,2,
Razak Al-Hassan,43.93150684931507,187.96,92.98636,0.0,3.27,3.14,0.39,0.6,0.65,0.14,0.57,0.0,13,5,
Abdul-Kareem Al-Selwady,31.016438356164382,172.72,70.30676,175.26,4.14,3.6,0.34,0.59,2.32,0.3,0.2,0.0,15,4,
Mostapha Al-Turk,52.76986301369863,187.96,111.13004,195.58,1.36,3.61,0.19,0.53,0.0,0.0,0.0,0.0,6,6,
Herdem Alacabek,34.86027397260274,187.96,92.98636,190.5,3.84,6.66,0.65,0.23,2.06,0.5,0.42,0.0,5,1,
Javi Alanis,0.0,167.64000000000001,61.23492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,
Alatengheili,34.33972602739726,165.1,61.23492,167.64000000000001,2.82,5.12,0.32,0.57,1.74,0.43,0.75,0.0,17,10,
Amir Albazi,32.46849315068493,165.1,56.699,172.72,2.47,3.88,0.33,0.59,1.18,0.25,0.62,0.4,17,3,
Brett Albee,0.0,0.0,102.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
John Albert,39.512328767123286,172.72,61.23492,172.72,3.05,2.82,0.49,0.35,0.0,0.0,0.5,6.1,6,5,
Junior Albini,35.09041095890411,190.5,119.748288,187.96,3.98,6.08,0.51,0.52,1.54,0.37,1.0,0.0,14,6,
Wes Albritton,0.0,177.8,85.275296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,
Aleksandra Albu,35.75890410958904,157.48000000000002,52.16308,160.02,4.83,5.56,0.47,0.38,2.27,0.5,0.77,0.4,3,2,
Israel Albuquerque,0.0,0.0,83.91452,0.0,0.32,3.34,0.13,0.25,0.0,0.0,0.0,0.0,0,3,
Juan Alcain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,
Iuri Alcantara,45.706849315068496,175.26,61.23492,180.34,2.72,2.79,0.45,0.49,1.44,0.62,0.6,0.8,35,10,
Ildemar Alcantara,43.416438356164385,187.96,83.91452,198.12,1.93,2.63,0.38,0.5,2.0,0.68,0.81,0.9,21,11,
Alfonso Alcarez,55.865753424657534,160.02,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,
Gilbert Aldana,48.652054794520545,185.42,113.398,0.0,2.91,6.26,0.54,0.26,2.57,0.4,0.33,0.0,6,2,
Irene Aldana,38.06027397260274,175.26,61.23492,172.72,5.19,6.64,0.39,0.56,0.15,0.5,0.77,0.2,15,8,
Hector Aldana,37.66575342465753,180.34,77.11064,182.88,3.59,5.08,0.38,0.59,0.93,1.0,0.0,0.0,4,3,
Jose Alday,34.58904109589041,170.18,61.23492,172.72,3.13,3.13,0.44,0.58,0.0,0.0,0.57,0.0,14,6,
Jose Aldo,39.605479452054794,170.18,61.23492,177.8,3.65,3.81,0.46,0.6,0.47,0.51,0.92,0.1,32,10,imagenes/Jose Aldo.png
JJ Aldrich,33.54520547945206,165.1,56.699,170.18,3.96,4.32,0.47,0.61,0.75,0.26,0.67,0.0,14,7,
Irina Alekseeva,35.8054794520548,172.72,61.23492,170.18,3.42,5.02,0.38,0.45,0.38,0.2,0.5,0.4,5,4,
Talita Alencar,35.4986301369863,154.94,52.16308,147.32,2.91,3.36,0.37,0.55,3.02,0.26,0.66,0.6,7,1,
Jim Alers,39.50958904109589,175.26,65.77083999999999,180.34,2.9,4.38,0.4,0.56,2.26,0.41,0.8,0.3,13,3,
John Alessio,46.79178082191781,177.8,70.30676,182.88,2.1,2.91,0.39,0.54,1.85,0.38,0.7,1.2,35,17,
Houston Alexander,54.082191780821915,182.88,92.98636,182.88,3.06,3.2,0.54,0.52,1.19,0.57,0.33,0.0,17,15,
Kenneth Alexander,48.56712328767123,175.26,70.30676,0.0,0.88,2.2,0.19,0.66,4.71,0.26,0.0,0.0,7,6,
Lucas Alexander,30.71780821917808,180.34,65.77083999999999,185.42000000000002,4.69,2.87,0.57,0.56,0.0,0.0,0.6,0.0,8,5,
Marcio Alexandre Junior,36.95068493150685,182.88,83.91452,190.5,1.61,2.89,0.45,0.42,0.35,0.2,0.66,0.7,17,4,
Olaf Alfonso,51.706849315068496,187.96,77.11064,0.0,1.65,4.77,0.38,0.53,0.37,0.07,0.22,0.7,8,12,
Pablo Alfonso,42.945205479452056,172.72,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7,
Levi Alford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,
Bill Algeo,36.85479452054795,182.88,65.77083999999999,185.42000000000002,5.88,4.38,0.51,0.47,1.03,0.5,0.55,0.1,18,9,
Royce Alger,61.131506849315066,177.8,90.264808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
Amir Aliakbari,41.85479452054795,190.5,113.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,
Sultan Aliev,41.583561643835615,180.34,77.11064,187.96,1.41,2.2,0.45,0.56,1.76,0.38,1.0,0.0,15,3,
Nurullo Aliev,25.34794520547945,177.8,70.30676,182.88,2.72,1.63,0.44,0.58,2.12,0.43,0.8,0.3,11,0,
Ikram Aliskerov,33.35616438356164,182.88,83.91452,193.04,6.86,5.47,0.64,0.41,3.2,0.6,1.0,0.5,17,2,
Leon Aliu,36.75890410958904,182.88,83.91452,187.96,6.32,10.11,0.5,0.38,0.0,0.0,0.0,0.0,10,2,
John Allan,33.14520547945205,185.42,92.98636,190.5,3.56,5.74,0.42,0.52,1.4,0.71,0.5,0.8,13,7,
George Allen,59.273972602739725,187.96,92.98636,0.0,0.8,3.1,0.38,0.43,0.0,0.0,0.5,0.0,13,19,
Arnold Allen,32.23013698630137,172.72,65.77083999999999,177.8,3.47,3.04,0.42,0.6,0.86,0.47,0.71,0.3,20,4,
Brendan Allen,30.2986301369863,187.96,83.91452,190.5,3.59,3.62,0.53,0.47,1.56,0.42,0.56,1.1,26,7,
Daniel Allen,33.68219178082192,182.88,70.30676,190.5,7.6,5.87,0.51,0.53,2.0,0.66,1.0,0.0,5,0,
Ben Alloway,45.16164383561644,180.34,77.11064,193.04,1.28,1.9,0.49,0.59,0.62,0.5,0.26,0.0,18,8,
Asu Almabayev,32.221917808219175,162.56,56.699,165.1,2.31,1.99,0.5,0.53,4.46,0.42,0.44,1.5,23,3,
Bekzat Almakhan,28.517808219178082,170.18,61.23492,172.72,1.61,3.73,0.34,0.36,0.0,0.0,0.41,0.0,12,3,
John Dave Almanza,22.06027397260274,170.18,56.699,170.18,1.92,5.75,0.41,0.27,0.0,0.0,0.0,0.0,6,1,
Ricardo Almeida,49.38904109589041,182.88,77.11064,187.96,2.02,1.2,0.49,0.61,3.74,0.38,0.31,1.2,13,5,
Magno Almeida,40.865753424657534,182.88,70.30676,0.0,1.67,2.6,0.36,0.41,0.0,0.0,0.4,5.0,10,3,
Thomas Almeida,34.71232876712329,170.18,65.77083999999999,177.8,4.84,4.93,0.43,0.61,0.17,0.14,0.75,0.0,22,5,
Ericka Almeida,37.11780821917808,167.64000000000001,52.16308,0.0,1.07,3.33,0.39,0.43,0.5,0.33,0.37,0.0,7,3,
Estefani Almeida,37.4986301369863,162.56,56.699,0.0,3.13,6.07,0.37,0.42,0.0,0.0,0.0,0.0,7,3,
Jailton Almeida,34.80821917808219,190.5,102.0582,200.66,2.23,1.3,0.62,0.43,5.64,0.55,0.6,1.7,22,5,
Lucas Almeida,35.20821917808219,180.34,65.77083999999999,180.34,4.94,5.36,0.39,0.44,0.0,0.0,0.53,0.0,15,5,
Cesar Almeida,38.054794520547944,185.42,83.91452,187.96,3.46,2.03,0.58,0.46,0.0,0.0,0.52,0.2,7,2,
Mauricio Alonso,46.14246575342466,187.96,77.11064,0.0,5.74,1.91,0.34,0.67,0.0,0.0,0.0,0.0,13,7,
Sarah Alpar,34.87671232876713,162.56,61.23492,160.02,2.36,6.06,0.44,0.38,1.61,0.26,0.2,0.4,9,6,
Ali AlQaisi,35.56438356164384,167.64000000000001,61.23492,172.72,2.43,1.97,0.42,0.56,3.5,0.29,0.6,1.0,8,5,
Rico Altamirano,0.0,177.8,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,
Victor Altamirano,35.23013698630137,172.72,56.699,177.8,4.58,3.82,0.53,0.53,2.88,0.38,0.63,0.0,12,5,
Mike Altman,0.0,177.8,83.91452,0.0,1.56,2.08,0.2,0.75,0.0,0.0,0.0,0.0,1,4,
Patricia Alujas,29.936986301369863,162.56,52.16308,162.56,5.83,9.25,0.31,0.44,0.0,0.0,0.0,0.0,9,3,
Sean Alvarez,54.772602739726025,182.88,106.59412,0.0,0.89,3.25,0.37,0.47,0.0,0.0,0.0,0.0,4,3,
Eddie Alvarez,42.26849315068493,175.26,70.30676,175.26,4.32,4.39,0.41,0.55,2.92,0.36,0.92,0.5,29,6,
Jaime Alvarez,38.10958904109589,172.72,56.699,175.26,2.73,4.53,0.4,0.56,1.0,0.33,0.5,0.0,6,1,
Joel Alvarez,33.12328767123287,190.5,70.30676,195.58,4.78,3.07,0.55,0.54,0.19,0.33,0.47,1.1,23,3,
Thiago Alves,42.54246575342466,175.26,77.11064,177.8,3.73,3.42,0.41,0.62,0.71,0.6,0.63,0.3,23,15,
Anthony Alves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,
Amilcar Alves,37.69041095890411,182.88,77.11064,0.0,0.5,2.02,0.46,0.3,0.0,0.0,0.53,0.0,15,12,
Warlley Alves,35.28219178082192,180.34,83.91452,182.88,3.04,3.95,0.48,0.5,1.22,0.5,0.62,0.8,15,8,
Rafael Alves,35.42191780821918,172.72,70.30676,172.72,1.85,3.3,0.48,0.58,0.29,0.25,0.44,1.5,20,12,
Sam Alvey,39.95068493150685,187.96,83.91452,190.5,3.28,3.63,0.44,0.52,0.06,0.14,0.82,0.1,33,18,
Christopher Alvidrez,29.2986301369863,182.88,77.11064,187.96,6.97,2.11,0.62,0.5,0.0,0.0,1.0,0.0,7,1,
Mahamed Aly,32.26027397260274,187.96,92.98636,198.12,6.0,12.0,0.66,0.33,0.0,0.0,0.0,0.0,4,1,
Andre Amado,42.52602739726027,182.88,69.853168,0.0,2.27,5.91,0.24,0.63,0.0,0.0,0.2,0.0,6,4,
Adlan Amagov,39.465753424657535,187.96,77.11064,193.04,3.29,0.82,0.47,0.78,5.84,0.56,1.0,0.0,14,2,
Maiara Amanajas dos Santos,38.76986301369863,165.1,52.16308,0.0,5.53,24.47,0.35,0.33,0.0,0.0,1.0,0.0,7,3,
Chris Amarante,0.0,0.0,83.91452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,
Jimmy Ambriz,56.23561643835617,187.96,142.88148,0.0,0.83,3.76,0.29,0.4,3.13,0.57,1.0,0.8,17,21,
JJ Ambrose,39.1945205479452,177.8,77.11064,0.0,3.16,6.32,0.69,0.33,0.0,0.0,0.5,0.0,28,7,
Alen Amedovski,38.03013698630137,177.8,83.91452,187.96,0.99,3.85,0.3,0.46,0.0,0.0,0.0,0.0,8,4,
Hyder Amil,35.88767123287671,175.26,65.77083999999999,177.8,5.81,3.95,0.52,0.51,0.56,0.18,0.65,0.8,11,2,
Hamid Amiri,22.83013698630137,0.0,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,
Makwan Amirkhani,37.43835616438356,177.8,65.77083999999999,182.88,1.33,2.98,0.44,0.46,3.96,0.43,0.35,1.1,17,9,
Jaqueline Amorim,30.81095890410959,160.02,52.16308,172.72,2.43,2.16,0.5,0.54,2.16,0.36,0.0,3.8,10,2,
Yaroslav Amosov,32.6,182.88,77.11064,190.5,2.78,1.55,0.47,0.54,4.64,0.5,0.0,4.6,29,1,
Bertrand Amoussou,59.9041095890411,172.72,86.18248,0.0,6.75,2.01,0.39,0.83,0.0,0.0,0.0,0.0,1,1,
Karl Amoussou,40.40547945205479,180.34,83.91452,0.0,1.47,2.67,0.34,0.54,0.0,0.0,0.25,1.0,27,7,
Eryk Anders,38.99178082191781,185.42,83.91452,190.5,3.51,4.09,0.48,0.5,1.75,0.24,0.8,0.1,17,9,
Matt Andersen,54.8986301369863,187.96,104.32616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,
Andy Anderson,51.76438356164383,167.64000000000001,108.86207999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,
Lowell Anderson,0.0,167.64000000000001,72.57472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,
Corey Anderson,36.56712328767123,190.5,92.98636,200.66,4.43,2.22,0.46,0.59,4.89,0.5,0.83,0.0,14,5,
Derek Anderson,36.202739726027396,182.88,70.30676,0.0,3.97,3.08,0.37,0.61,0.34,0.14,0.6,0.0,14,3,
Megan Anderson,36.178082191780824,182.88,65.77083999999999,182.88,1.76,3.35,0.46,0.37,0.52,0.25,0.53,0.5,11,5,
Liam Anderson,31.254794520547946,190.5,83.91452,190.5,3.0,6.53,0.52,0.31,1.0,0.2,0.5,0.0,6,3,
Tatsuya Ando,35.97534246575343,162.56,65.77083999999999,172.72,0.93,4.93,0.19,0.5,0.0,0.0,0.0,0.0,14,4,
Alex Andrade,51.93698630136986,180.34,90.7184,0.0,0.2,2.6,0.36,0.53,0.0,0.0,0.25,0.8,10,5,
Jessica Andrade,34.558904109589044,154.94,52.16308,157.48,6.37,5.58,0.48,0.54,2.1,0.54,0.75,0.3,26,15,
Viscardi Andrade,42.11232876712329,180.34,77.11064,190.5,3.26,2.77,0.42,0.63,1.93,0.5,0.66,0.3,19,6,
Jermaine Andre,52.76438356164383,170.18,90.7184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,
Fellipe Andrew,31.476712328767125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Dylan Andrews,46.42739726027397,185.42,83.91452,187.96,2.21,2.72,0.5,0.46,2.83,0.5,0.57,0.4,18,7,
Reese Andy,53.057534246575344,182.88,92.98636,0.0,2.87,3.5,0.5,0.58,0.67,0.2,0.4,0.0,7,3,
Angga,37.25753424657534,170.18,65.77083999999999,172.72,3.56,3.77,0.38,0.53,0.0,0.0,0.33,0.0,13,3,
Julius Anglickas,34.73424657534247,190.5,92.98636,0.0,4.62,1.86,0.78,0.5,4.47,0.5,0.6,1.1,5,1,
Collin Anglin,33.15068493150685,175.26,65.77083999999999,180.34,4.59,5.54,0.48,0.51,2.28,0.66,1.0,0.0,8,3,
Chad Anheliger,39.37808219178082,167.64000000000001,61.23492,162.56,3.11,2.76,0.46,0.53,0.68,0.3,0.38,0.5,13,8,
Yoji Anjo,59.07123287671233,180.34,92.98636,0.0,0.0,3.13,0.0,0.25,0.0,0.0,0.0,0.0,0,5,
Magomed Ankalaev,33.87123287671233,190.5,92.98636,190.5,3.65,2.59,0.52,0.56,0.79,0.22,0.87,0.0,21,2,
Gadzhimurad Antigulov,39.18630136986302,180.34,92.98636,177.8,2.08,4.21,0.55,0.4,5.08,0.36,0.0,1.4,20,8,
Adam Antolin,44.136986301369866,165.1,56.699,160.02,5.73,5.0,0.52,0.69,0.0,0.0,1.0,0.0,12,3,
Angelo Antonio,27.528767123287672,0.0,92.98636,0.0,1.09,7.64,0.5,0.5,0.0,0.0,0.0,0.0,1,4,
Vanilto Antunes,31.2986301369863,182.88,77.11064,182.88,5.49,14.27,0.48,0.43,0.0,0.0,0.0,0.0,16,7,
Azunna Anyanwu,44.704109589041096,185.42,113.851592,0.0,2.47,2.47,0.42,0.69,0.65,1.0,0.0,0.0,14,5,
Shinsho Anzai,40.37808219178082,170.18,77.11064,177.8,3.23,3.75,0.58,0.45,1.83,0.16,0.75,0.0,10,3,
Jin Aoi,29.23013698630137,167.64000000000001,65.77083999999999,172.72,1.6,5.8,0.29,0.51,0.0,0.0,0.71,0.0,14,6,
Shinya Aoki,42.945205479452056,180.34,69.853168,0.0,0.97,1.25,0.58,0.58,2.54,0.41,0.6,4.0,39,7,
Aoriqileng,32.80821917808219,170.18,61.23492,175.26,4.69,5.47,0.49,0.48,1.2,0.46,0.58,0.0,26,12,
Josh Appelt,42.83287671232877,177.8,115.66596,0.0,1.35,11.5,0.4,0.32,0.0,0.0,0.33,0.0,15,7,
Erik Apple,48.64931506849315,182.88,77.11064,0.0,0.0,0.54,0.0,0.81,0.0,0.0,0.0,8.1,10,3,
Kenji Arai,46.53972602739726,177.8,65.77083999999999,0.0,8.79,10.29,0.27,0.39,0.0,0.0,0.0,0.0,15,15,
Romie Aram,48.38082191780822,177.8,77.11064,0.0,1.8,2.83,0.35,0.5,2.5,0.62,0.83,0.0,7,1,
Felipe Arantes,38.18630136986302,172.72,61.23492,185.42000000000002,2.37,2.66,0.45,0.64,0.93,0.47,0.41,0.7,18,10,
Igor Araujo,45.367123287671234,185.42,77.11064,195.58,1.52,2.86,0.42,0.49,0.86,0.15,0.22,0.6,25,9,
Viviane Araujo,39.40547945205479,162.56,56.699,172.72,3.84,4.83,0.47,0.55,1.72,0.43,0.75,0.6,13,7,
Julio Arce,36.47123287671233,170.18,65.77083999999999,177.8,4.36,3.05,0.36,0.68,0.46,0.28,0.96,0.3,19,6,
Art Arciniega,44.50958904109589,172.72,65.77083999999999,0.0,1.53,2.73,0.46,0.51,0.0,0.0,0.5,1.0,15,7,
Alice Ardelean,33.99178082191781,160.02,52.16308,157.48,7.35,5.2,0.45,0.62,1.0,0.44,0.85,0.0,11,7,
Tristan Arenal,41.11780821917808,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,
Gabriel Arges,33.21095890410959,0.0,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Dan Argueta,32.673972602739724,170.18,61.23492,172.72,2.48,3.44,0.43,0.5,4.36,0.35,0.55,1.4,9,3,
Reza Arianto,0.0,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,
Hashem Arkhagha,36.5972602739726,187.96,83.91452,190.5,1.84,8.97,0.44,0.43,0.0,0.0,0.5,0.0,6,1,
Andrei Arlovski,47.205479452054796,190.5,108.86207999999999,195.58,3.82,3.22,0.45,0.57,0.37,0.35,0.76,0.2,34,24,
Garrett Armfield,29.515068493150686,167.64000000000001,61.23492,177.8,5.35,3.64,0.53,0.56,1.1,0.5,0.64,0.6,10,5,
Joey Armstrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,
Austin Arnett,34.484931506849314,182.88,65.77083999999999,182.88,4.52,6.38,0.41,0.62,0.44,0.18,0.57,0.2,16,6,
Ricardo Arona,47.75890410958904,180.34,92.98636,0.0,1.66,1.15,0.48,0.57,2.41,0.48,0.58,1.2,14,5,
Eli Aronov,29.85753424657534,177.8,83.91452,182.88,8.92,6.49,0.68,0.38,12.16,1.0,0.0,0.0,6,1,
Chalid Arrab,50.8986301369863,180.34,92.98636,0.0,1.56,1.63,0.34,0.56,3.05,0.75,0.37,1.0,7,3,
Akbarh Arreola,43.26027397260274,177.8,70.30676,180.34,2.32,4.01,0.45,0.56,1.07,1.0,0.33,0.4,23,11,
Matt Arroyo,43.63013698630137,177.8,77.11064,182.88,1.62,2.01,0.47,0.58,2.12,0.36,1.0,5.3,3,3,
Antonio Arroyo,36.794520547945204,190.5,83.91452,185.42000000000002,2.82,2.02,0.66,0.5,1.14,0.41,0.41,0.2,9,5,
Gilles Arsene,55.32876712328767,175.26,86.18248,0.0,0.06,2.45,0.1,0.32,0.0,0.0,0.0,0.0,1,1,
Veta Arteaga,0.0,170.18,56.699,0.0,3.2,1.92,0.36,0.65,0.0,0.0,0.4,0.0,3,1,
Cesar Arzamendia,35.20821917808219,180.34,70.30676,0.0,5.37,5.2,0.45,0.56,7.32,0.75,0.0,2.4,8,3,
Kai Asakura,32.45753424657534,172.72,56.699,175.26,2.27,3.53,0.32,0.52,0.0,0.0,0.5,0.0,21,6,
Teddy Ash,36.3041095890411,185.42,83.91452,185.42000000000002,7.27,6.8,0.61,0.28,0.0,0.0,1.0,0.0,14,5,
Arman Ashimov,34.25479452054795,167.64000000000001,56.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,
Yanal Ashmouz,31.043835616438358,175.26,70.30676,175.26,2.88,4.78,0.5,0.5,3.24,0.38,0.64,0.0,8,2,
Asjabharan,33.70958904109589,167.64000000000001,61.23492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,
Askar Askar,31.65753424657534,170.18,65.77083999999999,175.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,
Askar Askarov,33.51780821917808,167.64000000000001,56.699,170.18,3.05,2.8,0.54,0.57,2.6,0.24,0.66,0.4,14,1,
Cyril Asker,40.31506849315068,182.88,112.037224,187.96,3.35,5.82,0.39,0.35,4.41,0.62,1.0,0.9,9,4,
Khusein Askhabov,31.16986301369863,172.72,65.77083999999999,175.26,2.0,4.13,0.26,0.56,0.0,0.0,0.66,0.0,23,1,
Scott Askham,37.90958904109589,190.5,83.91452,190.5,3.03,3.52,0.46,0.52,0.44,0.18,0.65,0.7,14,4,
Ben Askren,41.75068493150685,180.34,77.11064,185.42000000000002,3.64,5.66,0.49,0.36,4.33,0.55,0.0,0.9,19,2,
Ibo Aslan,29.97808219178082,190.5,92.98636,195.58,5.75,3.96,0.48,0.56,0.0,0.0,0.87,0.0,14,4,
Tom Aspinall,33.013698630136986,195.57999999999998,115.66596,198.12,7.63,3.62,0.67,0.56,2.62,0.8,1.0,1.3,15,3,imagenes/Tom Aspinall.png
